Type: Psr
Dsss error rate model
SNR PER
24.6937 0
23.2694 0
21.9526 0
20.7333 0
19.6026 0
18.5527 0
17.5765 0
16.6675 0
15.8202 0
15.0293 0
14.2903 0
13.599 0
12.9515 0
12.3445 0
11.7749 0
11.2397 0
10.7365 0
10.2629 0
9.81678 6.1046e-08
9.39612 1.90435e-07
8.99915 5.56445e-07
8.62424 1.52998e-06
8.26986 3.97536e-06
7.93464 9.79901e-06
7.61729 2.2996e-05
7.31665 5.15481e-05
7.03161 0.000110707
6.7612 0.000228423
6.50447 0.000453964
6.26058 0.000871025
6.02873 0.00161694
5.80819 0.00290972
5.59828 0.00508446
5.39836 0.0086403
5.20784 0.014297
5.02619 0.0230582
4.85289 0.0362711
4.68747 0.0556659
4.52947 0.0833448
4.3785 0.121674
4.23417 0.173025
4.09611 0.239307
3.96399 0.321287
3.83749 0.417763
3.71631 0.524844
3.60019 0.63575
3.48885 0.741575
3.38205 0.833218
3.27958 0.904005
3.18119 0.951816
3.08671 0.979433
2.99593 0.99274
2.90868 0.997945
2.82478 0.999549
2.74407 0.999926
2.66642 0.999991
2.59166 0.999999
2.51967 1
2.45033 1
2.38351 1
2.31909 1
2.25698 1
2.19706 1
2.13924 1
2.08344 1
2.02956 1
1.97752 1
1.92725 1
1.87867 1
1.8317 1
1.78629 1
1.74237 1
1.69987 1
1.65875 1
1.61894 1
1.5804 1
1.54306 1
1.5069 1
1.47186 1
1.43789 1
1.40497 1
1.37304 1
1.34207 1
1.31202 1
1.28287 1
1.25457 1
1.2271 1
1.20042 1
1.17452 1
1.14935 1
1.12489 1
1.10113 1
1.07803 1
1.05557 1
1.03373 1
1.01249 1
0.99183 1
0.971726 1
0.952162 1
0.933119 1
0.914581 1
0.89653 1
0.878952 1
0.86183 1
0.84515 1
0.828897 1
0.813059 1
0.797622 1
0.782572 1
0.7679 1
0.753591 1
0.739636 1
0.726024 1
0.712743 1
0.699784 1
0.687138 1
0.674795 1
0.662745 1
0.650981 1
0.639493 1
0.628274 1
0.617316 1
0.606611 1
0.596153 1
0.585933 1
0.575946 1
