Type: Psr
Yans error rate model
SNR PER
9.89907 0
9.48666 0
9.09685 0
8.7281 0
8.37902 0
8.04831 0
7.73478 0
7.43732 0
7.15492 0
6.88664 0
6.6316 0
6.38901 0
6.1581 0
5.93819 0
5.72863 0
5.52881 0
5.33818 0
5.15621 0
4.98242 0
4.81636 0
4.65759 0
4.50572 0
4.36039 0
4.22124 0
4.08794 0
3.96021 4.10327e-12
3.83773 8.20655e-12
3.72026 2.46196e-11
3.60753 6.56524e-11
3.49931 1.68234e-10
3.39538 4.2674e-10
3.29552 1.04633e-09
3.19954 2.47838e-09
3.10725 5.69534e-09
3.01848 1.26996e-08
2.93306 2.75124e-08
2.85083 5.79875e-08
2.77164 1.19069e-07
2.69536 2.38441e-07
2.62186 4.66201e-07
2.551 8.9089e-07
2.48267 1.66561e-06
2.41677 3.04948e-06
2.35317 5.47231e-06
2.29179 9.63329e-06
2.23252 1.66489e-05
2.17528 2.82707e-05
2.11998 4.71997e-05
2.06653 7.75338e-05
2.01487 0.000125393
1.96492 0.000199783
1.9166 0.000313759
1.86986 0.000485991
1.82462 0.000742816
1.78083 0.00112091
1.73844 0.00167067
1.69737 0.00246058
1.65759 0.00358241
1.61904 0.00515781
1.58168 0.00734591
1.54546 0.0103523
1.51034 0.0144392
1.47627 0.0199361
1.44322 0.0272507
1.41115 0.036879
1.38003 0.0494118
1.34981 0.065536
1.32046 0.0860263
1.29197 0.111723
1.26428 0.143488
1.23738 0.182139
1.21124 0.228345
1.18583 0.2825
1.16113 0.344563
1.13711 0.413891
1.11374 0.489103
1.09101 0.568003
1.0689 0.647641
1.04738 0.724538
1.02643 0.7951
1.00604 0.856175
0.986183 0.905618
0.966847 0.942698
0.948013 0.968187
0.929665 0.984058
0.911787 0.992892
0.894365 0.997224
0.877384 0.999067
0.86083 0.999735
0.84469 0.999938
0.82895 0.999988
0.8136 0.999998
0.798626 1
0.784017 1
0.769763 1
0.755852 1
0.742274 1
0.729019 1
0.716079 1
0.703442 1
0.691101 1
0.679048 1
0.667272 1
0.655768 1
0.644526 1
0.63354 1
